RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
1,"James Harden, SG",LAC,68,36.5,.444,.865,4.4,6.6,7.5,1.8,0.9,4.5,34.3,54.8
2,"Giannis Antetokounmpo, PF",MIL,63,30.4,.553,.633,1.4,13.6,5.6,1.0,1.0,3.7,29.5,54.0
3,"Luka Doncic, PG",LAL,61,33.6,.463,.758,2.8,9.4,8.8,1.0,0.2,4.3,28.8,51.0
4,"LeBron James, SF",LAL,67,34.6,.493,.693,2.2,7.8,10.2,1.2,0.5,3.9,25.3,49.1
5,"Damian Lillard, PG",MIL,66,37.5,.463,.888,4.1,4.3,8.0,1.1,0.3,2.9,30.0,48.7
6,"Karl-Anthony Towns, C",NYK,35,33.9,.508,.796,3.3,10.8,4.4,0.9,1.2,3.1,26.5,47.7
7,"Trae Young, PG",ATL,60,35.3,.437,.860,3.4,4.3,9.3,1.1,0.1,4.8,29.6,47.2
8,"Anthony Davis, PF",DAL,62,34.4,.503,.846,1.2,9.3,3.2,1.5,2.3,2.5,26.1,46.1
9,"Russell Westbrook, PG",DEN,57,35.9,.472,.763,1.0,7.9,7.0,1.6,0.4,4.5,27.2,45.6
10,"Bradley Beal, SG",PHO,57,36.0,.455,.842,3.0,4.2,6.1,1.2,0.4,3.4,30.5,45.3

